aces_in_hand_before,prob_0_ace_after,prob_1_ace_after,prob_2_aces_after,prob_3_aces_after,prob_4_aces_after
0,0.3240802675585284,0.45752508361204014,0.19063545150501673,0.026755852842809364,0.001003344481605351
1,0.0,0.43846153846153846,0.43846153846153846,0.11538461538461539,0.007692307692307693
2,0.0,0.0,0.5846153846153846,0.36923076923076925,0.046153846153846156
3,0.0,0.0,0.0,0.7692307692307693,0.23076923076923078
4,0.0,0.0,0.0,0.0,1
